2026-02-18T14:01:57.562Z | INFO  | DNS:RESOLVE | Attempting to resolve host 'vpn-api.proton.me'. | {"Caller":"DnsResolverBase.ResolveAsync:63"}
2026-02-18T14:01:57.562Z | INFO  | DNS:NAME_SERVER | Getting name servers from available network interfaces. | {"Caller":"NameServersLoader.Get:45"}
2026-02-18T14:01:57.609Z | INFO  | DNS:NAME_SERVER | Found 2 name servers. | {"Caller":"NameServersLoader.Get:61"}
2026-02-18T14:01:57.609Z | INFO  | DNS:RESOLVE | Attempting to resolve host 'vpn-api.proton.me' through '10.2.0.1:53'. | {"Caller":"DnsOverUdpResolver.TryResolveAsync:84"}
2026-02-18T14:01:57.610Z | INFO  | DNS:RESOLVE | Attempting to resolve host 'vpn-api.proton.me' through '192.168.0.1:53'. | {"Caller":"DnsOverUdpResolver.TryResolveAsync:84"}
2026-02-18T14:01:57.615Z | INFO  | DNS:RESPONSE | The endpoint '192.168.0.1:53' responded successfully to the DNS query of host 'vpn-api.proton.me'. | {"Caller":"DnsOverUdpResolver.ResolveAsync:122"}
2026-02-18T14:01:57.615Z | INFO  | DNS:RESPONSE | 1 records were received for host 'vpn-api.proton.me' with DNS over UDP endpoint '192.168.0.1:53'. TTL is 1166 seconds. | {"Caller":"DnsOverUdpResolver.ResolveAsync:129"}
2026-02-18T14:01:57.615Z | INFO  | DNS:RESPONSE | Created DNS response entity for host 'vpn-api.proton.me' with 1 IP addresses and an expiration date in UTC of 18-Feb-26 2:21:23 PM based on a TTL of 00:19:26. | {"Caller":"DnsResolverBase.CreateDnsResponseWithIpAddresses:181"}
2026-02-18T14:01:57.615Z | INFO  | DNS | The DNS over UDP resolver through '10.2.0.1:53' was canceled when resolving host 'vpn-api.proton.me'. | {"Caller":"DnsOverUdpResolver.TryResolveAsync:94"}
2026-02-18T14:01:57.615Z | INFO  | DNS:RESPONSE | Successfully resolved host 'vpn-api.proton.me'. | {"Caller":"DnsResolverBase.LogResult:80"}
2026-02-18T14:01:57.615Z | INFO  | DNS | The UDP DNS request was successful for host 'vpn-api.proton.me'. Saving to cache. | {"Caller":"DnsManager.ResolveDnsAsync:71"}
